Date,Open,High,Low,Close,Adj Close,Volume
2022-12-12,61.700001,62.250000,60.450001,61.849998,61.504662,1581368
2022-12-13,62.049999,63.700001,61.799999,62.549999,62.200752,2048108
2022-12-14,62.750000,64.250000,62.650002,63.549999,63.195171,2124585
2022-12-15,63.599998,63.750000,61.450001,61.799999,61.454941,1060540
2022-12-16,61.099998,62.000000,60.099998,60.650002,60.311363,1099299
2022-12-19,60.400002,61.799999,60.000000,61.250000,60.908012,845419
2022-12-20,61.250000,61.400002,60.150002,60.500000,60.162201,959788
2022-12-21,60.799999,63.799999,60.549999,61.200001,60.858292,4404951
2022-12-22,61.650002,63.250000,59.000000,60.000000,59.664993,4730119
2022-12-23,60.000000,63.200001,58.450001,59.000000,58.670574,7704310
2022-12-26,59.650002,61.700001,59.650002,60.549999,60.211922,3323454
2022-12-27,60.849998,60.950001,59.700001,60.049999,59.714714,1360581
2022-12-28,60.400002,60.549999,59.250000,59.349998,59.018620,1020555
2022-12-29,59.400002,59.900002,58.200001,58.349998,58.024204,1296132
2022-12-30,58.599998,59.650002,58.000000,58.250000,57.924763,1182527
2023-01-02,58.349998,59.400002,57.900002,58.849998,58.521412,1082792
2023-01-03,58.900002,60.299999,58.650002,59.000000,58.670574,962402
2023-01-04,59.099998,59.349998,58.400002,59.049999,58.720295,740225
2023-01-05,59.299999,59.299999,58.549999,58.849998,58.521412,618583
2023-01-06,58.849998,59.950001,58.049999,58.299999,57.974483,966629
2023-01-09,58.549999,60.000000,58.000000,59.500000,59.167786,1330402
2023-01-10,59.500000,63.200001,59.250000,62.299999,61.952148,5652746
2023-01-11,62.750000,67.400002,61.549999,66.300003,65.929817,15363874
2023-01-12,66.699997,68.199997,66.500000,67.449997,67.073395,8029914
2023-01-13,67.449997,67.500000,65.300003,65.900002,65.532051,3117873
2023-01-16,66.199997,67.250000,65.449997,65.949997,65.581764,2639296
2023-01-17,66.050003,67.199997,65.650002,66.150002,65.780655,1881302
2023-01-18,66.250000,68.349998,65.550003,66.250000,65.880096,3039036
2023-01-19,65.949997,66.849998,65.750000,66.000000,65.631493,1100211
2023-01-20,66.199997,69.599998,66.099998,67.150002,66.775070,6251107
2023-01-23,67.800003,67.800003,64.199997,64.800003,64.438194,3103601
2023-01-24,65.000000,66.949997,64.349998,65.900002,65.532051,2632823
2023-01-25,65.699997,66.000000,63.500000,63.950001,63.592937,1808222
2023-01-27,64.099998,64.750000,62.400002,62.799999,62.449356,2129535
2023-01-30,62.900002,64.349998,62.200001,63.349998,62.996284,1695263
2023-01-31,63.500000,64.449997,62.799999,64.199997,63.841537,1112612
2023-02-01,64.500000,65.000000,60.700001,62.000000,61.653824,1069312
2023-02-02,62.000000,64.199997,61.900002,63.500000,63.145451,2336116
2023-02-03,63.250000,63.750000,61.950001,62.349998,62.001869,2215794
2023-02-06,62.000000,63.099998,61.799999,62.400002,62.051594,1063067
2023-02-07,62.599998,64.300003,62.099998,63.950001,63.592937,1453726
2023-02-08,64.000000,64.550003,62.599998,63.049999,62.697960,821543
2023-02-09,63.099998,64.099998,61.400002,62.400002,62.051594,1333460
2023-02-10,62.599998,65.099998,62.400002,64.849998,64.487907,1545542
2023-02-13,65.000000,66.949997,64.050003,66.099998,65.730934,4584115
2023-02-14,67.400002,69.500000,66.099998,68.650002,68.266693,4753946
2023-02-15,69.000000,69.900002,68.300003,68.800003,68.415863,2457214
2023-02-16,68.800003,69.349998,66.250000,66.699997,66.327583,1325313
2023-02-17,66.500000,69.500000,66.250000,68.800003,68.415863,2090453
2023-02-20,69.000000,71.000000,68.949997,70.199997,69.808037,3162763
2023-02-21,70.500000,71.650002,69.199997,71.349998,70.951622,2954381
2023-02-22,70.650002,72.300003,69.500000,70.099998,69.708595,2308746
2023-02-23,70.349998,70.449997,68.500000,68.900002,68.515305,1192555
2023-02-24,69.000000,69.699997,67.099998,67.400002,67.023674,1085333
2023-02-27,67.400002,68.099998,65.550003,67.550003,67.172836,1974153
2023-02-28,67.599998,68.900002,66.599998,67.500000,67.123116,1203301
2023-03-01,67.449997,68.800003,67.099998,68.099998,67.719765,996562
2023-03-02,68.500000,69.199997,67.000000,67.349998,66.973953,939490
2023-03-03,67.550003,69.000000,67.300003,68.500000,68.117531,1237144
2023-03-06,68.849998,69.750000,67.849998,68.650002,68.266693,1136454
2023-03-08,68.650002,68.949997,67.099998,68.599998,68.216972,981277
2023-03-09,68.800003,68.800003,67.300003,67.650002,67.272278,897385
2023-03-10,66.849998,69.150002,66.000000,68.750000,68.366135,2122243
2023-03-13,69.500000,69.500000,66.500000,66.750000,66.377304,1466125
2023-03-14,66.699997,67.300003,66.199997,66.750000,66.377304,1001189
2023-03-15,67.250000,67.699997,65.750000,66.150002,65.780655,698227
2023-03-16,66.199997,67.500000,64.300003,67.000000,66.625908,1556840
2023-03-17,68.500000,69.250000,67.500000,68.800003,68.415863,1696120
2023-03-20,68.500000,72.849998,68.500000,70.849998,70.454407,4907459
2023-03-21,71.699997,72.400002,69.199997,69.750000,69.360550,1834545
2023-03-22,69.849998,70.500000,69.199997,69.599998,69.211388,821669
2023-03-23,69.599998,70.500000,69.400002,70.050003,69.658882,1020288
2023-03-24,70.099998,72.599998,69.300003,70.550003,70.156090,2841418
2023-03-27,70.949997,72.199997,70.000000,71.150002,70.752739,2297046
2023-03-28,71.199997,72.500000,70.349998,72.199997,71.796867,1935201
2023-03-29,72.150002,74.199997,71.699997,73.599998,73.189056,2741042
2023-03-31,74.400002,74.400002,69.750000,70.400002,70.006927,2063442
2023-04-03,70.750000,72.000000,69.550003,71.500000,71.100784,1459754
2023-04-05,71.500000,73.500000,71.000000,72.599998,72.194641,1899846
2023-04-06,73.199997,73.750000,71.699997,72.349998,71.946037,1416791
